,client_id,gendr,generation
0,169,M,generation x
1,555,U,millenial
2,647,M,baby boomers
3,722,F,baby boomers
4,934,F,generation x
5,1028,M,millenial
6,1104,U,generation x
7,1186,U,millenial
8,1195,M,baby boomers
9,1197,U,millenial
10,1336,M,generation x
11,1346,F,generation x
12,1368,F,generation x
13,1516,F,baby boomers
14,1543,M,generation x
15,1643,M,baby boomers
16,1677,M,generation x
17,1702,U,baby boomers
18,1755,M,generation x
19,1836,M,generation x
20,1894,U,generation x
21,1936,M,millenial
22,2078,F,generation x
23,2130,M,baby boomers
24,2439,M,baby boomers
25,2581,M,millenial
26,2720,M,millenial
27,3232,F,generation x
28,3572,M,baby boomers
29,3647,F,baby boomers
30,3743,U,millenial
31,3989,U,baby boomers
32,4369,F,baby boomers
33,4484,M,generation x
34,4603,F,generation x
35,4717,U,baby boomers
36,4838,F,generation x
37,4870,M,millenial
38,4955,M,baby boomers
39,5271,U,baby boomers
40,5354,U,generation x
41,5444,U,generation x
42,5459,M,millenial
43,5845,F,silent generation
44,6022,U,millenial
45,6096,M,millenial
46,6150,F,baby boomers
47,6468,U,generation x
48,6567,U,baby boomers
49,6642,M,millenial
50,6904,M,baby boomers
51,6977,U,baby boomers
52,6985,U,baby boomers
53,7005,M,generation x
54,7020,F,generation x
55,7561,M,millenial
56,7563,M,millenial
57,7567,F,millenial
58,7657,M,generation x
59,7723,M,baby boomers
60,7856,M,millenial
61,7934,F,generation x
62,8023,F,generation x
63,8030,U,millenial
64,8039,U,baby boomers
65,8055,M,baby boomers
66,8101,M,baby boomers
67,8124,M,generation x
68,8583,M,millenial
69,8610,U,millenial
70,8673,U,millenial
71,8712,U,generation x
72,8820,U,millenial
73,9229,M,generation x
74,9536,U,generation x
75,9751,M,millenial
76,9767,M,millenial
77,9845,F,millenial
78,9916,M,generation x
79,10344,M,silent generation
80,10363,U,millenial
81,10434,M,silent generation
82,10552,F,millenial
83,11040,U,millenial
84,11054,M,baby boomers
85,11070,M,baby boomers
86,11122,M,generation x
87,11309,F,generation x
88,11880,U,millenial
89,11922,U,millenial
90,12045,F,generation x
91,12115,U,millenial
92,12785,F,generation x
93,13009,U,baby boomers
94,13183,M,generation x
95,13735,M,millenial
96,13831,F,generation x
97,14638,F,silent generation
98,14664,F,millenial
99,14690,M,generation x
100,14716,M,silent generation
101,14775,F,millenial
102,15050,F,baby boomers
103,15189,U,generation z
104,15246,F,generation x
105,15352,U,baby boomers
106,15688,F,millenial
107,15708,U,baby boomers
108,15753,M,baby boomers
109,15807,F,millenial
110,16095,U,millenial
111,16098,U,generation x
112,16135,F,baby boomers
113,16202,U,millenial
114,16291,F,generation x
115,16295,F,baby boomers
116,16549,F,baby boomers
117,16679,U,generation x
118,16744,F,baby boomers
119,16747,F,millenial
120,16881,U,baby boomers
121,17008,M,baby boomers
122,17036,U,millenial
123,17160,F,baby boomers
124,17170,M,baby boomers
125,17318,M,baby boomers
126,17404,U,generation x
127,18449,F,baby boomers
128,18549,M,generation x
129,18654,M,baby boomers
130,18660,M,generation x
131,18973,M,baby boomers
132,19060,M,baby boomers
133,19263,F,generation x
134,19573,U,baby boomers
135,19613,U,millenial
136,19782,U,baby boomers
137,19813,F,baby boomers
138,19832,F,baby boomers
139,20006,F,baby boomers
140,20091,U,millenial
141,20108,U,generation z
142,20185,F,baby boomers
143,20537,F,silent generation
144,20564,M,baby boomers
145,20643,M,millenial
146,20668,F,baby boomers
147,20898,U,millenial
148,21011,M,millenial
149,21098,F,baby boomers
150,21200,U,baby boomers
151,21242,F,millenial
152,21281,M,baby boomers
153,21353,F,silent generation
154,21403,F,generation x
155,21498,F,baby boomers
156,21522,F,baby boomers
157,21596,U,generation x
158,21719,M,millenial
159,21940,M,generation x
160,21970,U,millenial
161,22007,F,silent generation
162,22714,M,generation x
163,22793,M,baby boomers
164,22885,F,millenial
165,23175,F,millenial
166,23276,M,baby boomers
167,23308,F,millenial
168,23400,U,millenial
169,23538,F,millenial
170,23690,F,baby boomers
171,23864,M,generation x
172,23914,U,millenial
173,24002,F,generation z
174,24079,F,millenial
175,24443,M,generation x
176,24491,U,generation x
177,24572,F,millenial
178,24586,U,generation x
179,24703,F,millenial
180,24710,F,generation x
181,24841,M,baby boomers
182,25022,U,millenial
183,25026,M,baby boomers
184,25043,F,baby boomers
185,25378,U,generation x
186,25766,F,millenial
187,26036,M,millenial
188,26070,M,millenial
189,26105,U,millenial
190,26196,M,silent generation
191,26211,F,generation x
192,26286,F,baby boomers
193,26451,M,generation x
194,26696,M,baby boomers
195,26747,U,generation z
196,26763,M,generation x
197,26938,M,generation z
198,27021,M,millenial
199,27075,M,baby boomers
200,27241,U,millenial
201,27270,U,generation z
202,27554,M,millenial
203,27764,U,millenial
204,27907,U,baby boomers
205,27988,F,baby boomers
206,28076,M,generation x
207,28241,M,generation x
208,28371,M,millenial
209,28542,M,baby boomers
210,28705,F,baby boomers
211,28710,M,baby boomers
212,28845,M,millenial
213,28857,M,generation x
214,28911,F,baby boomers
215,29079,U,millenial
216,29227,F,baby boomers
217,29527,F,generation x
218,29595,U,generation x
219,29716,F,baby boomers
220,30096,M,baby boomers
221,30318,U,baby boomers
222,30360,F,generation x
223,30462,M,baby boomers
224,30493,F,generation x
225,30630,U,generation x
226,31166,F,millenial
227,31191,M,generation z
228,31264,M,generation x
229,31336,M,millenial
230,31404,U,baby boomers
231,31499,M,baby boomers
232,31502,U,generation x
233,31597,U,baby boomers
234,31715,U,millenial
235,31766,F,generation z
236,32084,M,baby boomers
237,32197,M,generation x
238,32305,F,baby boomers
239,32429,U,millenial
240,32471,F,baby boomers
241,32521,F,baby boomers
242,32746,F,generation x
243,32859,U,baby boomers
244,33190,F,generation x
245,33265,U,generation x
246,33463,U,millenial
247,33472,U,generation x
248,33752,F,generation x
249,34067,M,baby boomers
250,34101,F,generation x
251,34267,M,silent generation
252,34491,M,generation x
253,34501,F,generation x
254,34603,M,generation x
255,34608,F,generation x
256,34631,M,generation x
257,34679,U,generation z
258,35010,U,generation x
259,35087,M,millenial
260,35091,U,millenial
261,35138,F,silent generation
262,35181,M,generation x
263,35257,U,millenial
264,35346,U,millenial
265,35417,F,millenial
266,35476,M,millenial
267,35883,M,millenial
268,35922,U,generation x
269,36109,M,baby boomers
270,36308,F,millenial
271,36342,M,generation x
272,36363,U,millenial
273,36430,F,baby boomers
274,36432,F,baby boomers
275,36555,M,baby boomers
276,36986,M,silent generation
277,37046,F,millenial
278,37064,U,millenial
279,37237,M,generation x
280,37295,U,millenial
281,37363,U,millenial
282,37408,U,generation x
283,37423,U,generation x
284,37524,F,millenial
285,37616,M,generation x
286,37667,F,millenial
287,37691,M,millenial
288,37705,U,millenial
289,37872,F,generation x
290,37897,F,baby boomers
291,37961,M,generation x
292,38275,U,baby boomers
293,38283,U,baby boomers
294,38340,U,generation x
295,38384,M,baby boomers
296,38551,M,baby boomers
297,38685,F,baby boomers
298,38714,M,baby boomers
299,38775,F,generation x
300,38854,M,millenial
301,38930,F,millenial
302,38963,M,generation x
303,39004,M,generation x
304,39041,U,baby boomers
305,39043,U,generation x
306,39075,F,baby boomers
307,39566,M,millenial
308,39968,F,generation x
309,40140,F,generation x
310,40283,F,generation x
311,40316,F,silent generation
312,40439,M,millenial
313,40969,U,generation x
314,41122,U,millenial
315,41127,M,generation x
316,41142,U,generation x
317,41199,M,baby boomers
318,41237,U,generation x
319,41516,F,baby boomers
320,41554,F,generation x
321,41652,U,baby boomers
322,41924,M,generation x
323,42082,F,millenial
324,42108,F,silent generation
325,42219,U,millenial
326,42296,M,silent generation
327,42349,U,millenial
328,42725,U,millenial
329,42876,U,generation x
330,43265,M,baby boomers
331,43494,F,baby boomers
332,43645,F,silent generation
333,43766,M,generation x
334,44060,U,generation x
335,44216,M,generation x
336,44293,M,generation x
337,44437,M,millenial
338,44705,M,baby boomers
339,44860,U,millenial
340,44932,M,millenial
341,44995,M,silent generation
342,45131,U,silent generation
343,45232,U,baby boomers
344,45252,F,millenial
345,45485,M,baby boomers
346,45510,U,millenial
347,46223,M,baby boomers
348,46298,M,millenial
349,46547,M,millenial
350,46766,F,millenial
351,46790,U,millenial
352,46934,F,millenial
353,47291,U,millenial
354,47402,U,millenial
355,47571,U,millenial
356,47860,F,generation x
357,47933,F,generation x
358,48241,M,baby boomers
359,48424,M,generation x
360,48431,F,baby boomers
361,48448,M,baby boomers
362,48493,M,millenial
363,48724,U,generation x
364,49412,M,generation x
365,49450,U,baby boomers
366,49451,M,generation z
367,49709,M,baby boomers
368,49998,M,millenial
369,50053,U,baby boomers
370,50090,M,baby boomers
371,50185,U,generation x
372,50271,U,millenial
373,50325,F,baby boomers
374,50445,U,millenial
375,50599,M,millenial
376,50643,F,baby boomers
377,50692,U,baby boomers
378,51493,F,millenial
379,51526,M,generation x
380,51651,M,generation x
381,51706,M,millenial
382,51814,F,baby boomers
383,51902,M,generation x
384,52111,M,generation x
385,52309,M,baby boomers
386,52384,F,baby boomers
387,52456,U,baby boomers
388,52461,F,generation x
389,52515,F,generation x
390,52743,U,baby boomers
391,52765,U,millenial
392,52952,M,millenial
393,53094,U,millenial
394,53123,M,baby boomers
395,53126,U,generation x
396,53169,F,generation x
397,53396,M,generation x
398,53990,M,baby boomers
399,54231,F,baby boomers
400,54291,M,baby boomers
401,54363,F,silent generation
402,54477,F,millenial
403,54893,M,generation x
404,55059,F,baby boomers
405,55113,F,generation x
406,55265,F,millenial
407,55333,M,millenial
408,55448,F,baby boomers
409,55705,F,generation x
410,55951,U,generation x
411,56294,F,millenial
412,56408,M,millenial
413,56529,M,generation x
414,56570,M,generation x
415,56686,M,baby boomers
416,56782,M,generation x
417,56923,F,generation x
418,57744,U,baby boomers
419,58001,M,baby boomers
420,58194,F,generation x
421,58196,U,generation x
422,58456,U,baby boomers
423,58589,U,generation x
424,58676,F,generation x
425,58802,F,baby boomers
426,58867,M,generation x
427,58917,M,silent generation
428,58962,F,baby boomers
429,58975,U,baby boomers
430,59089,U,baby boomers
431,59152,U,generation x
432,59360,M,generation x
433,59605,F,baby boomers
434,59782,U,baby boomers
435,59802,M,generation x
436,59860,F,generation x
