client_id,Variation,gendr,generation
9988021,Test,U,silent generation
8320017,Test,M,millenial
4033851,Control,M,baby boomers
1982004,Test,U,generation x
9294070,Control,U,millenial
9466803,Test,F,millenial
3170143,Test,F,baby boomers
6651403,Control,M,baby boomers
5887227,Test,U,millenial
2105948,Control,U,baby boomers
438567,Test,M,generation x
2519971,Test,F,baby boomers
9814849,Control,F,millenial
5407849,Test,M,generation x
7286739,Control,U,generation x
4446011,Control,F,baby boomers
5308474,Test,F,baby boomers
2991219,Test,U,baby boomers
2354414,Test,U,generation x
949210,Test,M,baby boomers
4229407,Control,M,baby boomers
9987707,Test,M,generation x
2709011,Test,U,generation x
4507502,Test,U,millenial
2842481,Control,F,generation x
2317698,Test,F,generation x
3013805,Test,F,generation x
1218661,Control,U,millenial
2965703,Test,M,baby boomers
1712929,Control,F,millenial
2328234,Test,M,baby boomers
800925,Control,F,baby boomers
6685654,Test,F,silent generation
8766054,Test,M,millenial
4726500,Test,F,generation x
9504867,Test,M,generation x
1242238,Control,M,millenial
7800773,Test,M,silent generation
9477476,Control,M,millenial
1338778,Control,M,baby boomers
6584990,Control,M,millenial
7859827,Test,U,millenial
7407692,Test,U,baby boomers
7040762,Control,M,baby boomers
9900469,Test,U,millenial
5169372,Control,M,generation x
5267250,Control,U,millenial
2079440,Test,F,millenial
5376894,Test,F,generation x
3751049,Control,U,millenial
8240010,Test,M,baby boomers
6110816,Test,M,millenial
2550129,Test,M,millenial
9912156,Control,U,millenial
7690370,Test,U,baby boomers
9885354,Test,F,generation z
1962381,Test,M,millenial
229701,Control,U,baby boomers
2818303,Control,U,generation x
6229916,Test,U,millenial
9358626,Control,U,millenial
4773291,Control,U,millenial
4953263,Control,U,silent generation
522661,Test,M,baby boomers
3754789,Control,U,generation z
3066535,Control,U,millenial
9545426,Control,M,millenial
4778144,Control,U,baby boomers
2000786,Control,F,baby boomers
1532932,Test,U,generation x
9096386,Test,U,generation x
6986475,Control,F,millenial
7996704,Control,M,generation x
2211277,Test,U,baby boomers
